order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline
779485284485258,512,128,256,4,6.221417635132459,0.55904189134796,697.7700000000001,6.221417635132459,0.55904189134796
780054248196744,64,64,128,9,8.160237983181414,0.683726126396,695.16,8.160237983181414,0.683726126396
780054248196744,128,256,16,11,5.416276005499978,0.40263400935099997,665.37,5.416276005499978,0.40263400935099997
780054248196744,256,256,64,4,6.169246525862047,0.55905346378806,690.3900000000001,6.169246525862047,0.55905346378806
780054248196744,32,256,256,9,10.16697193947478,0.8684132692584999,713.73,10.16697193947478,0.8684132692584999
780054248196744,64,16,64,12,8.53897404598229,0.6705233947321,678.14,8.53897404598229,0.6705233947321
780054248196744,16,256,16,4,12.718355628528698,1.2280259478524598,727.3900000000001,12.718355628528698,1.2280259478524598
780054248196744,32,64,128,12,10.563791981721703,0.8513061304020999,707.59,10.563791981721703,0.8513061304020999
780054248196744,256,64,4,12,5.5011945999335445,0.39188760102886,671.02,5.5011945999335445,0.39188760102886
780054248196744,512,256,16,10,5.203563380312953,0.3794529790382,673.0600000000001,5.203563380312953,0.3794529790382
780054248196744,64,128,4,4,7.910926497185387,0.7433332498642,708.5500000000001,7.910926497185387,0.7433332498642
780619818428344,32,4,256,4,9.56023535267083,0.91001699915504,702.38,9.56023535267083,0.91001699915504
780619818428344,64,256,256,7,8.007985489168084,0.69809946587532,691.88,8.007985489168084,0.69809946587532
780619818428344,32,128,128,11,10.50084205163796,0.8640217848226799,700.96,10.50084205163796,0.8640217848226799
780619818428344,512,16,128,7,4.718463525439294,0.37180671740886,678.1,4.718463525439294,0.37180671740886
780619818428344,32,64,256,5,9.633890815348737,0.8971052321529599,702.7399999999999,9.633890815348737,0.8971052321529599
780619818428344,64,16,256,12,8.568156482716995,0.6705233947321,684.7800000000001,8.568156482716995,0.6705233947321
780619818428344,64,16,4,7,7.9445802000707335,0.6988800721616799,678.37,7.9445802000707335,0.6988800721616799
780619818428344,128,64,16,4,6.130282245378533,0.56140990800068,680.8100000000001,6.130282245378533,0.56140990800068
780619818428344,64,4,4,6,8.0430686969267,0.72669506085696,685.15,8.0430686969267,0.72669506085696
780619818428344,256,64,16,9,5.046710313755403,0.38739317287782,673.87,5.046710313755403,0.38739317287782
781184290086870,32,256,4,8,9.908043737451006,0.86776618028744,690.4800000000001,9.908043737451006,0.86776618028744
781184290086870,512,64,256,11,5.4890463766220945,0.39242389606343997,671.6600000000001,5.4890463766220945,0.39242389606343997
781184290086870,64,4,64,8,8.103986025368274,0.6985020083526999,677.26,8.103986025368274,0.6985020083526999
781184290086870,64,4,128,10,8.50976223959079,0.70170065082696,683.23,8.50976223959079,0.70170065082696
781184290086870,32,4,4,8,9.909343510070824,0.8715917297649001,686.13,9.909343510070824,0.8715917297649001
781184290086870,128,16,256,11,5.420098605353272,0.40236821113143995,663.45,5.420098605353272,0.40236821113143995
781184290086870,128,64,4,11,5.404959310570817,0.40315016978861995,667.6700000000001,5.404959310570817,0.40315016978861995
781184290086870,64,256,128,4,7.940888667060021,0.7425468651541199,686.1500000000001,7.940888667060021,0.7425468651541199
781184290086870,32,16,256,11,10.504912249926745,0.8640217848226799,689.3699999999999,10.504912249926745,0.8640217848226799
781184290086870,64,256,16,10,8.200570936417211,0.67076455800996,671.64,8.200570936417211,0.67076455800996
781730481762808,64,16,256,8,7.997481517837607,0.68378184939894,688.7,7.997481517837607,0.68378184939894
781730481762808,128,256,128,5,5.24045153626924,0.45632076206253996,666.04,5.24045153626924,0.45632076206253996
781730481762808,64,128,64,4,7.913211719568752,0.7425468651541199,680.3,7.913211719568752,0.7425468651541199
781730481762808,512,256,256,10,5.323330291104852,0.38896815321873995,673.29,5.323330291104852,0.38896815321873995
781730481762808,16,16,128,4,12.694918400882871,1.22793857854292,716.2599999999999,12.694918400882871,1.22793857854292
781730481762808,256,16,64,6,5.055483701614058,0.42504987163054,666.0200000000001,5.055483701614058,0.42504987163054
781730481762808,256,256,256,5,5.249914964769271,0.45183195427956,673.91,5.249914964769271,0.45183195427956
781730481762808,128,64,128,6,5.210807850406192,0.4437446969322,666.02,5.210807850406192,0.4437446969322
781730481762808,64,16,16,7,7.939582980844721,0.69831829677202,692.81,7.939582980844721,0.69831829677202
