order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline,area,area_baseline,int_regs,float_regs,vec_regs
935493941648382,16,256,256,5,15.168412950973241,1.4396971415520001,349.61,12.962526829260902,1.22404155634666,12.385719581759998,12.439016110588,214,198,93
935493941648382,16,128,256,4,14.850662132609303,1.4377232122627,345.18,12.741389055630291,1.22793857854292,12.12563145024,12.177808803512,225,255,242
936291923491515,256,256,128,7,5.847762564744747,0.48272640009479995,335.25,4.671732668931042,0.37174980692726,13.20469522848,13.261515860924002,229,252,65
936291923491515,256,256,128,5,6.288951861057051,0.5546991306879999,339.56,5.233594824510815,0.45183195427956,12.48373528416,12.537453580708,246,252,62
936291923491515,256,256,256,5,6.306708856671838,0.554698351568,336.02,5.249411242256755,0.45183195427956,12.539079504,12.593035950199997,248,256,63
936291923491515,256,256,4,8,6.0414048972786425,0.4901102288198,333.22,4.866449185201135,0.38065478449406,13.3400361024,13.397439115120001,244,58,60
936291923491515,256,256,256,10,6.352786593993117,0.4879201011965999,333.5,5.155130022286926,0.3809428064092,14.58473651712,14.647495553855999,250,226,56
936291923491515,256,256,256,8,6.084121555512567,0.4891664673078,335.62,4.90003242834662,0.37963591692938,13.729326750719999,13.788404905536002,242,256,49
936291923491515,512,256,256,10,6.474190339970031,0.49077545257349997,338.25,5.321108771472095,0.3889483052089999,15.017094671039997,15.081714172052,244,256,85
936291923491515,512,256,256,9,6.285922504976017,0.48792581195769996,338.53999999999996,5.178689317407102,0.38886992314519997,14.451375758399998,14.51356093542,242,256,86
936291923491515,16,256,256,8,15.723189768748908,1.4065090562526,348.49,13.420627114656646,1.19267672149618,13.545473054399999,13.60376007522,241,256,65
936291923491515,16,256,256,9,15.973460547003537,1.4076937414282,351.07,13.631659278259505,1.1929399165774799,13.579036007040001,13.637467451352,242,64,87
937082694866342,512,256,4,7,4.727092845690652,0.37264510352701996,648.35,4.727092845690652,0.37264510352701996,13.366913556204,13.366913556204,236,220,55
937082694866342,128,128,4,5,5.196094369123782,0.45600442382406,651.06,5.196094369123782,0.45600442382406,12.341672390136,12.341672390136,232,104,49
937082694866342,128,64,4,6,5.180643140905059,0.44457673928797997,645.6500000000001,5.180643140905059,0.44457673928797997,12.590450723712,12.590450723712,211,72,49
937082694866342,128,16,4,5,5.1929782958337345,0.45600447353999995,646.5100000000001,5.1929782958337345,0.45600447353999995,12.390393966256001,12.390393966256001,232,223,51
937082694866342,256,64,4,7,4.638857161691005,0.37264527256102,646.6999999999999,4.638857161691005,0.37264527256102,13.117936359051999,13.117936359051999,192,215,53
937082694866342,16,64,4,6,12.961172155431216,1.2099246942716797,687.56,12.961172155431216,1.2099246942716797,12.593234813776,12.593234813776,246,103,54
937082694866342,32,4,4,7,9.779014531278673,0.88209274802254,668.8599999999999,9.779014531278673,0.88209274802254,12.84012394338,12.84012394338,239,58,53
937082694866342,16,4,4,8,13.156990740376896,1.1843939076944199,682.21,13.156990740376896,1.1843939076944199,13.183760202708,13.183760202708,167,131,52
937082694866342,256,4,4,6,8.102868451953642,0.72670161625244,677.0,8.102868451953642,0.72670161625244,12.747552948752,12.747552948752,243,170,53
937082694866342,256,4,4,9,8.521218276826426,0.71229142166268,664.63,8.521218276826426,0.71229142166268,14.070294024516,14.070294024516,250,237,55
937601675028409,512,128,4,5,5.236496501397005,0.45268752076128005,639.0999999999999,5.236496501397005,0.45268752076128005,12.435734861583999,12.435734861583999,188,83,54
937601675028409,512,256,64,8,4.92805478399167,0.3796706640625,641.3900000000001,4.92805478399167,0.3796706640625,13.750322530732,13.750322530732,189,200,55
937601675028409,512,256,16,5,5.244535851917656,0.45216269281115995,646.62,5.244535851917656,0.45216269281115995,12.464868375468,12.464868375468,188,83,54
937601675028409,512,256,256,7,4.730018983491984,0.37174857254932,644.04,4.730018983491984,0.37174857254932,13.346927766816,13.346927766816,184,199,55
937601675028409,512,16,16,5,5.2257596748180335,0.45218257205365997,645.4300000000001,5.2257596748180335,0.45218257205365997,12.453135424484,12.453135424484,188,142,55
937601675028409,32,4,64,12,10.444145884860045,0.8544306295969399,673.3299999999999,10.444145884860045,0.8544306295969399,14.560194443991998,14.560194443991998,87,158,157
937601675028409,512,256,4,12,5.5895466672806915,0.39189159250886,642.98,5.5895466672806915,0.39189159250886,15.905307672056,15.905307672056,181,228,54
937601675028409,512,256,256,10,5.2080767262296135,0.38124876433224,650.0500000000001,5.2080767262296135,0.38124876433224,14.552737059892,14.552737059892,180,105,52
937601675028409,512,256,256,10,5.223100367921097,0.38124335523249997,642.2,5.223100367921097,0.38124335523249997,14.957623300628,14.957623300628,181,256,50
937601675028409,512,64,256,6,5.110202797621301,0.42562089996839997,653.8199999999999,5.110202797621301,0.42562089996839997,12.83316371822,12.83316371822,153,129,55
938126023555152,512,64,64,9,5.376996025731129,0.41512640161462,643.7900000000001,5.376996025731129,0.41512640161462,14.124583780763999,14.124583780763999,150,203,54
938126023555152,512,64,64,9,5.377141612742898,0.41512227377542,647.88,5.377141612742898,0.41512227377542,14.127566734404,14.127566734404,149,205,51
938126023555152,128,128,64,4,6.126803165270142,0.5611259791160799,653.6999999999999,6.126803165270142,0.5611259791160799,12.096771896292001,12.096771896292001,205,153,211
