order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline
691771241288398,512,256,4,7,4.733336170783442,0.37264493449302,655.33,4.733336170783442,0.37264493449302
691771241288398,128,256,64,8,5.026989294284749,0.39918132581497995,665.26,5.026989294284749,0.39918132581497995
691771241288398,512,128,4,12,5.611804532838656,0.39188760102886,661.96,5.611804532838656,0.39188760102886
691771241288398,512,16,4,7,4.713138031098175,0.37264497142492004,658.14,4.713138031098175,0.37264497142492004
691771241288398,512,16,4,12,5.598825895085289,0.3916152700951,653.11,5.598825895085289,0.3916152700951
691771241288398,512,16,16,12,5.4207361158754095,0.37377015917213996,663.4799999999999,5.4207361158754095,0.37377015917213996
691771241288398,128,16,256,7,5.143063326157285,0.42406659386615997,656.33,5.143063326157285,0.42406659386615997
691771241288398,512,16,64,12,5.423928942603121,0.37346900158862,661.21,5.423928942603121,0.37346900158862
691771241288398,512,16,128,12,5.430825473900179,0.37345722176314,653.5999999999999,5.430825473900179,0.37345722176314
692323245217928,16,16,128,12,14.368681757599555,1.18712143958516,719.81,14.368681757599555,1.18712143958516
692323245217928,512,16,4,9,4.988476309998648,0.37334206483626003,664.46,4.988476309998648,0.37334206483626003
692323245217928,512,16,16,9,4.9836611327081535,0.37279170704973996,661.35,4.9836611327081535,0.37279170704973996
692323245217928,16,16,128,11,14.067946560820124,1.1850744630801997,720.3199999999999,14.067946560820124,1.1850744630801997
692323245217928,32,16,128,11,10.482250881013215,0.8640217848226799,708.94,10.482250881013215,0.8640217848226799
692323245217928,256,4,16,9,8.520459195923255,0.7117233252755599,683.4100000000001,8.520459195923255,0.7117233252755599
692323245217928,256,4,256,11,8.636286882253176,0.68409169163048,687.23,8.636286882253176,0.68409169163048
692323245217928,32,16,256,11,10.504912249926745,0.8640217848226799,694.67,10.504912249926745,0.8640217848226799
692323245217928,64,16,256,11,8.37915703687916,0.6700308653940399,678.97,8.37915703687916,0.6700308653940399
692323245217928,256,16,4,9,4.9110316351629635,0.37334206483626003,661.0200000000001,4.9110316351629635,0.37334206483626003
692893406411590,64,4,256,6,8.077430197514921,0.72605316048868,702.8399999999999,8.077430197514921,0.72605316048868
692893406411590,64,4,256,5,8.043705733258832,0.73930083676804,690.79,8.043705733258832,0.73930083676804
692893406411590,16,4,4,12,14.332482187700244,1.18660461504022,719.3900000000001,14.332482187700244,1.18660461504022
692893406411590,16,4,16,12,14.341691289574655,1.1872536836535,718.7099999999999,14.341691289574655,1.1872536836535
692893406411590,256,16,128,12,5.327100881660625,0.37346028284413996,674.3000000000001,5.327100881660625,0.37346028284413996
692893406411590,128,16,128,12,5.552505945492124,0.40371290493535994,673.56,5.552505945492124,0.40371290493535994
692893406411590,256,16,256,12,5.340817357268456,0.37346028284413996,673.37,5.340817357268456,0.37346028284413996
692893406411590,512,16,128,9,4.993753455983308,0.37248576538128003,673.16,4.993753455983308,0.37248576538128003
692893406411590,512,16,128,11,5.339049213151206,0.37890028745911997,675.88,5.339049213151206,0.37890028745911997
692893406411590,16,4,256,12,14.3962991416167,1.18717966520474,724.13,14.3962991416167,1.18717966520474
693461619036998,512,64,128,11,5.474965161549168,0.39242389606343997,659.3100000000002,5.474965161549168,0.39242389606343997
693461619036998,512,16,64,7,4.711292976618451,0.37180714354474,654.21,4.711292976618451,0.37180714354474
693461619036998,128,4,128,8,8.148998242158143,0.6984958407425199,688.91,8.148998242158143,0.6984958407425199
693461619036998,256,256,16,10,5.117156903243472,0.3794532460832,664.35,5.117156903243472,0.3794532460832
693461619036998,128,4,64,7,8.247734442368737,0.72602632384508,684.29,8.247734442368737,0.72602632384508
693461619036998,256,4,64,7,8.301513768293296,0.72602632384508,684.46,8.301513768293296,0.72602632384508
693461619036998,128,4,128,7,8.258306300740808,0.72602634373148,687.2099999999999,8.258306300740808,0.72602634373148
693461619036998,512,16,64,11,5.329209865951752,0.37864646224624,661.88,5.329209865951752,0.37864646224624
693461619036998,256,4,128,7,8.312047473564897,0.72602634373148,685.4100000000001,8.312047473564897,0.72602634373148
693461619036998,128,256,256,7,5.165111566638373,0.42403860523906,653.07,5.165111566638373,0.42403860523906
694014163157581,256,256,4,6,5.079407552241558,0.42587588132222,661.25,5.079407552241558,0.42587588132222
694014163157581,512,16,256,12,5.4445594119900065,0.37345722176314,669.93,5.4445594119900065,0.37345722176314
694014163157581,128,256,4,6,5.221620734760117,0.44457664979927997,666.3,5.221620734760117,0.44457664979927997
694014163157581,256,256,4,5,5.2273698263298,0.45268749093174004,659.71,5.2273698263298,0.45268749093174004
694014163157581,128,256,4,5,5.222215984948738,0.45600443376724,659.5300000000001,5.222215984948738,0.45600443376724
694014163157581,64,256,4,6,7.944364486365041,0.7121439955728799,684.5,7.944364486365041,0.7121439955728799
694014163157581,256,256,256,12,5.513856840977423,0.38881977828695996,661.01,5.513856840977423,0.38881977828695996
694014163157581,128,256,64,5,5.232458183541683,0.45632076206253996,662.45,5.232458183541683,0.45632076206253996
694014163157581,256,16,128,11,5.24533038148865,0.37904845073511995,670.5899999999999,5.24533038148865,0.37904845073511995
694014163157581,64,256,4,5,7.852888701948728,0.7195158584773,687.7299999999999,7.852888701948728,0.7195158584773
694575109105336,256,128,256,4,6.181688076262392,0.55905346378806,683.49,6.181688076262392,0.55905346378806
694575109105336,256,16,4,7,4.652656418465437,0.37264497142492004,665.3,4.652656418465437,0.37264497142492004
694575109105336,512,4,16,7,8.36759555348425,0.7261118593307,688.27,8.36759555348425,0.7261118593307
694575109105336,512,4,16,6,8.175280050769452,0.7261576277853601,690.8299999999999,8.175280050769452,0.7261576277853601
694575109105336,512,4,16,5,8.121330899209902,0.73939488927968,698.1100000000001,8.121330899209902,0.73939488927968
694575109105336,512,4,16,4,8.251845949759304,0.77113264525362,693.9599999999999,8.251845949759304,0.77113264525362
694575109105336,512,4,16,8,8.27362052369849,0.6985918321957599,691.71,8.27362052369849,0.6985918321957599
