rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
128,16,4,4,16000000,0.56200338225392,6.129114240819105,10084178
256,16,4,4,16000000,0.5599642688858799,6.142549918458641,10084178
256,256,4,11,16000000,0.37930677881522,5.255635085060495,10640281
512,256,4,11,16000000,0.37930677881522,5.350792336305539,10640281
512,16,128,6,16000000,0.42504686168553996,5.116987940909094,10640281
512,16,128,5,16000000,0.45187018580055993,5.2577722971207725,10640281
256,128,4,11,16000000,0.37930677881522,5.245262088315226,10640281
512,128,4,11,16000000,0.37930677881522,5.3404185988799115,10640281
256,256,16,12,16000000,0.38862223435482,5.484716104398878,10640281
256,256,16,11,16000000,0.39154797167134,5.373713326120779,10640281
32,128,128,10,16000000,0.87432837995658,10.400890495898269,10640281
32,128,128,9,16000000,0.8684132692584999,10.124996071750148,10640281
512,16,128,8,16000000,0.37968657599308,4.937658985897409,11190102
512,16,128,7,16000000,0.37180671740886,4.718463525439294,11190102
256,16,4,8,16000000,0.38051383992230003,4.863213411069688,11190102
512,16,256,11,16000000,0.37890028745911997,5.352881841906673,11190102
128,16,4,7,16000000,0.41189581461024,4.991067356448661,11190102
128,16,4,8,16000000,0.40000827724433996,5.00646274706225,11190102
512,16,256,8,16000000,0.37968657599308,4.951504683284679,11190102
512,16,256,7,16000000,0.37180671740886,4.732167160508103,11190102
128,16,4,9,16000000,0.40888439317548,5.196783640101377,11190102
512,16,256,6,16000000,0.42504686168553996,5.131659143253465,11190102
512,64,4,9,16000000,0.37334192563158003,4.992977330662542,11736503
64,256,64,11,16000000,0.67003016795064,8.38084487210801,11736503
256,128,128,9,16000000,0.38026278956793996,4.998804252278443,11736503
64,256,64,9,16000000,0.683726126396,8.174336095768618,11736503
64,256,64,10,16000000,0.6705329416059601,8.206815006316646,11736503
256,128,128,8,16000000,0.37965020953497997,4.878188595666223,11736503
64,256,64,12,16000000,0.67052276121,8.569847648162394,11736503
64,128,64,10,16000000,0.6705329416059601,8.191138332425668,11736503
64,128,128,9,16000000,0.683726126396,8.168553569700999,11736503
128,64,16,5,16000000,0.45660793668794003,5.2105130075992125,11736503
256,128,4,9,16000000,0.37334192563158003,4.9208981537560925,12297279
256,4,128,12,16000000,0.69838696436296,8.975720089002431,12297279
128,4,128,12,16000000,0.69839755242776,8.891361034172427,12297279
512,4,128,12,16000000,0.69838696436296,9.102825684722973,12297279
512,4,256,12,16000000,0.69838696436296,9.122471916934575,12297279
256,128,128,10,16000000,0.3809428064092,5.134226472654094,12297279
256,4,256,12,16000000,0.69838696436296,8.995366321214034,12297279
128,4,256,12,16000000,0.69839755242776,8.910971410980101,12297279
128,4,64,12,16000000,0.69839726549636,8.881053089003885,12297279
256,4,64,12,16000000,0.69838696436296,8.965448816137169,12297279
256,128,4,4,16000000,0.5599602106507,6.1557195108375575,12853509
256,256,4,4,16000000,0.5599602106507,6.169380812962891,12853509
256,128,16,9,16000000,0.38739317287782,5.052210966603213,12853509
128,128,64,5,16000000,0.45632076206253996,5.220682237129004,12853509
256,128,16,4,16000000,0.55939074775904,6.150892164190587,12853509
256,256,16,4,16000000,0.55939074775904,6.164543210233337,12853509
128,256,16,4,16000000,0.56140990800068,6.151152545135428,12853509
256,128,16,7,16000000,0.37210079261969997,4.6576878815077025,12853509
128,128,16,4,16000000,0.56140990800068,6.137464378204365,12853509
128,256,4,4,16000000,0.5620033723107399,6.156100988901602,12853509
256,16,64,12,16000000,0.37347219477262,5.320183004478036,13404138
128,16,64,12,16000000,0.40371290493535994,5.545031892878559,13404138
512,64,4,11,16000000,0.37930677881522,5.334995155148379,13404138
512,64,64,12,16000000,0.38904801913250003,5.584070303212191,13404138
512,16,4,11,16000000,0.39169304783978,5.449404139035979,13404138
128,64,64,12,16000000,0.40369427994055995,5.549666417689175,13404138
256,64,64,12,16000000,0.38904785152004007,5.4791927328182455,13404138
512,64,16,11,16000000,0.39154797167134,5.4534665659784505,13404138
512,128,128,10,16000000,0.38896815321873995,5.2987588229578435,13404138
512,64,4,12,16000000,0.39188760102886,5.606241944692314,13404138
256,128,64,9,16000000,0.38763982563756,5.05980830347973,13978519
256,64,64,9,16000000,0.38763982563756,5.054305707999977,13978519
32,4,4,7,16000000,0.8820369980432798,9.817810275507453,13978519
32,4,4,8,16000000,0.8715917297649001,9.909343510070824,13978519
64,256,4,8,16000000,0.68454942159176,7.997907927562748,13978519
32,4,16,4,16000000,0.9100932647626598,9.514409186183864,13978519
32,4,4,10,16000000,0.8715219783956598,10.326133723710177,13978519
32,4,128,4,16000000,0.91001699915504,9.53673593507015,13978519
32,4,128,10,16000000,0.87296696536924,10.365323288076619,13978519
32,4,4,4,16000000,0.9106138072152199,9.518394573027193,13978519
64,16,128,12,16000000,0.6705233947321,8.549016513664286,14533715
64,16,256,12,16000000,0.6705233947321,8.568156482716995,14533715
256,128,256,6,16000000,0.42499859465586,5.088538919758525,14533715
64,16,128,7,16000000,0.69809946587532,7.956485946668563,14533715
128,128,64,7,16000000,0.42403860523906,5.131603044613133,14533715
256,128,256,9,16000000,0.38026278956793996,5.012664202838004,14533715
64,16,128,6,16000000,0.7113571123021198,7.924587160534088,14533715
64,16,128,5,16000000,0.7187356328870399,6.876824252777115,14533715
64,16,128,11,16000000,0.6700308653940399,8.360057990526954,14533715
64,16,128,8,16000000,0.68378184939894,7.978099980883313,14533715
256,256,4,8,16000000,0.38053019503636,4.883668218275616,15113925
256,16,16,11,16000000,0.37874310286102003,5.229501778246147,15113925
16,64,16,12,16000000,1.1869252436745399,14.350023754439162,15113925
32,256,16,12,16000000,0.8513491800884,10.57116161785218,15113925
16,256,16,12,16000000,1.1869252436745399,14.388196705855485,15113925
16,4,16,10,16000000,1.1847765599584599,13.763024301947098,15113925
16,128,16,12,16000000,1.1869252436745399,14.363121645376136,15113925
32,128,16,12,16000000,0.8513491800884,10.55219509409221,15113925
16,4,16,9,16000000,1.19308298472282,13.586180980718689,15113925
16,4,16,11,16000000,1.18520590194668,14.039868777469048,15113925
256,128,16,11,16000000,0.39154797167134,5.363116223581435,15697841
16,128,256,12,16000000,1.18712143958516,14.421486074600548,15697841
