benchmark,interval,index,ipc,cpi,cputime
zip,5312000,1,2.242930,0.445845,12.08
zip,5312000,11,1.973165,0.506800,11.91
zip,5312000,21,2.045135,0.488965,10.83
zip,5312000,2,2.026549,0.493450,10.40
zip,5312000,12,2.087521,0.479037,11.11
zip,5312000,22,2.213595,0.451754,14.45
zip,5312000,3,2.385393,0.419218,10.85
zip,5312000,13,2.073501,0.482276,11.15
zip,5312000,23,2.425919,0.412215,11.84
zip,5312000,4,2.666447,0.375031,13.03
zip,5312000,14,1.968186,0.508082,11.05
zip,5312000,24,2.300484,0.434691,10.16
zip,5312000,5,2.098963,0.476426,11.25
zip,5312000,15,2.320228,0.430992,10.11
zip,5312000,25,1.990942,0.502275,10.01
zip,5312000,16,2.361613,0.423439,9.25
zip,5312000,6,2.013000,0.496771,9.19
zip,5312000,26,2.109554,0.474034,9.16
zip,5312000,17,2.166979,0.461472,8.40
zip,5312000,7,2.267088,0.441095,8.32
zip,5312000,27,2.181188,0.458466,8.53
zip,5312000,18,2.076389,0.481605,8.59
zip,5312000,8,2.124372,0.470727,8.52
zip,5312000,28,2.142518,0.466741,9.19
zip,5312000,19,1.935627,0.516628,9.56
zip,5312000,9,2.277214,0.439133,8.89
zip,5312000,29,2.046019,0.488754,8.09
