benchmark,interval,weight,cluster
parser,16000,0.0119619,10
parser,2000,0.0104313,0
parser,2000,0.131038,1
parser,2000,0.239895,2
parser,2000,0.0181075,3
parser,2000,0.239601,4
parser,2000,0.0104901,5
parser,2000,0.189517,6
parser,2000,0.000506258,7
parser,2000,0.000105961,8
parser,2000,5.88672e-05,9
parser,2000,4.70937e-05,10
parser,2000,0.000176601,11
parser,2000,1.17734e-05,12
parser,2000,0.000176601,13
parser,2000,0.159836,14
parser,32000,0.450264,0
parser,32000,0.00904295,1
parser,32000,0.000565185,2
parser,32000,0.00885456,3
parser,32000,0.0218538,4
parser,32000,0.0670686,5
parser,32000,0.0678222,6
parser,32000,0.00037679,7
parser,32000,0.361907,9
parser,32000,0.00263753,10
parser,32000,0.00960814,11
parser,4000,0.102783,0
parser,4000,0.000282566,1
parser,4000,0.00049449,2
parser,4000,0.103655,3
parser,4000,0.314001,4
parser,4000,0.102524,5
parser,4000,0.103136,6
parser,4000,0.103607,7
parser,4000,2.35471e-05,8
parser,4000,0.0108552,9
parser,4000,0.000188377,10
parser,4000,7.06414e-05,11
parser,4000,0.000141283,12
parser,4000,0.102783,13
parser,4000,0.0108788,14
parser,4000,4.70943e-05,15
parser,4000,0.0444099,16
parser,4000,4.70943e-05,17
parser,4000,7.06414e-05,18
parser,8000,0.14359,0
parser,8000,0.219459,1
parser,8000,0.000518037,2
parser,8000,0.0113026,3
parser,8000,4.70943e-05,4
parser,8000,0.197749,5
parser,8000,0.00965433,6
parser,8000,0.000282566,7
parser,8000,0.00131864,8
parser,8000,0.0980503,9
parser,8000,0.0995102,10
parser,8000,9.41886e-05,11
parser,8000,0.000188377,12
parser,8000,0.218235,13
radix2,1000,0.00102854,0
radix2,1000,0.134868,1
radix2,1000,0.0083569,2
radix2,1000,0.168552,3
radix2,1000,0.168295,4
radix2,1000,0.00141425,5
radix2,1000,0.00128568,6
radix2,1000,0.0118282,7
radix2,1000,0.151453,8
radix2,1000,0.00308563,9
radix2,1000,0.0506557,10
radix2,1000,0.075855,11
radix2,1000,0.219337,12
radix2,1000,0.0039856,13
radix2,16000,0.0740741,0
radix2,16000,0.893004,1
radix2,16000,0.00823045,2
radix2,16000,0.00411523,3
radix2,16000,0.00411523,4
radix2,16000,0.0164609,5
radix2,2000,0.0105426,0
radix2,2000,0.892774,1
radix2,2000,0.075855,2
radix2,2000,0.00977115,3
radix2,2000,0.0110568,4
radix2,32000,0.0123457,0
radix2,32000,0.884774,1
radix2,32000,0.0740741,2
radix2,32000,0.0123457,3
radix2,32000,0.0164609,4
radix2,4000,0.0761317,0
radix2,4000,0.00925926,1
radix2,4000,0.00154321,2
radix2,4000,0.893519,3
radix2,4000,0.0195473,4
radix2,8000,0.0761317,0
radix2,8000,0.437243,1
radix2,8000,0.453704,2
radix2,8000,0.00102881,3
radix2,8000,0.00925926,4
radix2,8000,0.0113169,5
radix2,8000,0.00308642,6
radix2,8000,0.00823045,7
sha,1000,0.973306,0
sha,1000,0.0107282,1
sha,1000,0.000844737,2
sha,1000,0.000929211,3
sha,1000,0.000760264,4
sha,1000,0.0035479,5
sha,1000,0.000168947,6
sha,1000,0.00768711,7
sha,1000,0.00109816,8
sha,1000,0.000929211,9
sha,16000,0.0202977,0
sha,16000,0.00947226,1
sha,16000,0.00135318,2
sha,16000,0.0108254,3
sha,16000,0.955345,4
sha,16000,0.00135318,5
sha,16000,0.00135318,6
sha,2000,0.972293,0
sha,2000,0.0101368,1
sha,2000,0.00185842,2
sha,2000,0.00168947,3
sha,2000,0.000844737,4
sha,2000,0.00118263,5
sha,2000,0.00168947,6
sha,2000,0.000844737,7
sha,2000,0.00709579,8
sha,2000,0.000506842,9
sha,2000,0.000168947,10
sha,2000,0.00101368,11
sha,2000,0.00067579,12
sha,32000,0.0108401,0
sha,32000,0.934959,1
sha,32000,0.00813008,2
sha,32000,0.00271003,3
sha,32000,0.00271003,4
sha,32000,0.0406504,8
sha,4000,0.971274,0
sha,4000,0.00946266,1
sha,4000,0.0135181,2
sha,4000,0.00574518,3
sha,8000,0.00608519,0
sha,8000,0.00608519,1
sha,8000,0.966193,2
sha,8000,0.00811359,3
sha,8000,0.0135227,4
