benchmark,interval,cluster,index,cpi,ipc,timing
zip,1000000,6,6,0.437038,2.288130,2.43
zip,1000000,6,7,0.410298,2.437250,2.44
zip,1000000,6,8,0.406139,2.462211,2.38
zip,1000000,6,9,0.393965,2.538299,2.34
zip,1000000,7,0,0.896906,1.114944,2.54
zip,1000000,7,1,0.718720,1.391362,2.51
zip,1000000,7,2,0.885132,1.129775,2.60
zip,1000000,7,3,1.068068,0.936270,2.57
zip,1000000,7,4,0.955564,1.046502,2.52
zip,1000000,7,5,0.733480,1.363363,2.47
zip,1000000,7,6,0.604375,1.654601,2.46
zip,1000000,7,7,0.759233,1.317118,2.54
zip,1000000,7,8,0.807179,1.238883,2.50
zip,1000000,7,9,0.867155,1.153197,2.48
zip,1000000,8,0,1.165938,0.857679,2.61
zip,1000000,8,1,1.171240,0.853796,2.55
zip,1000000,8,2,1.215916,0.822426,2.58
zip,1000000,8,3,1.219432,0.820054,2.58
zip,1000000,8,4,1.228867,0.813758,2.65
zip,1000000,8,5,1.228871,0.813755,2.65
zip,1000000,8,6,1.228995,0.813673,2.64
zip,1000000,8,7,1.229023,0.813655,2.54
zip,1000000,8,8,1.209776,0.826599,2.61
zip,1000000,8,9,1.228993,0.813674,2.61
zip,1000000,9,0,1.040164,0.961387,2.60
zip,1000000,9,1,0.810079,1.234448,2.48
zip,1000000,9,2,0.708657,1.411120,2.50
zip,1000000,9,3,0.683170,1.463764,2.42
zip,1000000,9,4,0.553678,1.806104,2.35
zip,1000000,9,5,0.792487,1.261851,2.52
zip,1000000,9,6,0.767985,1.302108,2.54
zip,1000000,9,7,0.866348,1.154271,2.51
zip,1000000,9,8,0.815361,1.226451,2.49
zip,1000000,9,9,0.651438,1.535066,2.42
zip,1000000,10,0,0.634161,1.576887,2.51
zip,1000000,10,1,1.105695,0.904409,2.60
zip,1000000,10,2,0.894500,1.117943,2.54
zip,1000000,10,3,1.080771,0.925265,2.57
zip,1000000,10,4,0.908723,1.100445,2.53
zip,1000000,10,5,0.839150,1.191683,2.46
zip,1000000,10,6,0.810714,1.233481,2.49
zip,1000000,10,7,0.739279,1.352668,2.41
zip,1000000,10,8,0.642204,1.557138,2.61
zip,1000000,10,9,0.825179,1.211858,2.53
zip,2000000,0,0,0.538515,1.856959,3.65
zip,2000000,0,1,0.663727,1.506644,4.04
zip,2000000,0,2,0.600712,1.664692,3.72
zip,2000000,0,3,0.695924,1.436938,3.80
zip,2000000,0,4,0.619208,1.614967,3.74
zip,2000000,0,5,0.662403,1.509655,3.80
zip,2000000,0,6,0.711514,1.405453,3.80
zip,2000000,0,7,0.664494,1.504906,3.86
zip,2000000,0,8,0.722666,1.383766,3.89
zip,2000000,0,9,0.655229,1.526184,3.80
zip,2000000,1,0,0.654540,1.527791,3.92
zip,2000000,1,1,0.623851,1.602947,3.83
zip,2000000,1,2,0.608368,1.643741,3.87
zip,2000000,1,3,0.735012,1.360522,3.93
zip,2000000,1,4,0.728567,1.372558,3.90
zip,2000000,1,5,0.620288,1.612155,3.76
zip,2000000,1,6,0.700056,1.428457,3.82
zip,2000000,1,7,0.652125,1.533447,3.82
zip,2000000,1,8,0.597017,1.674995,3.87
zip,2000000,1,9,0.607317,1.646585,3.76
zip,2000000,2,0,0.361681,2.764864,3.63
zip,2000000,2,1,0.361357,2.767346,3.70
zip,2000000,2,2,0.360924,2.770665,3.71
zip,2000000,2,3,0.359484,2.781766,3.66
zip,2000000,2,4,0.369974,2.702895,3.68
zip,2000000,2,5,0.368931,2.710533,3.73
zip,2000000,2,6,0.368831,2.711267,3.72
zip,2000000,2,7,0.358965,2.785788,3.68
zip,2000000,2,8,0.361183,2.768677,3.75
zip,2000000,2,9,0.374688,2.668891,3.65
zip,2000000,3,0,0.605454,1.651654,3.81
zip,2000000,3,1,0.592892,1.686649,3.82
zip,2000000,3,2,0.560025,1.785634,3.80
zip,2000000,3,3,0.633840,1.577686,3.84
zip,2000000,3,4,0.636226,1.571770,3.86
zip,2000000,3,5,0.593929,1.683703,3.79
zip,2000000,3,6,0.633228,1.579210,3.78
zip,2000000,3,7,0.668103,1.496776,3.82
zip,2000000,3,8,0.688642,1.452133,3.89
zip,2000000,3,9,0.626490,1.596194,3.79
zip,2000000,4,0,0.425692,2.349119,3.73
zip,2000000,4,1,0.424977,2.353070,3.68
zip,2000000,4,2,0.426544,2.344424,3.69
zip,2000000,4,3,0.426785,2.343098,3.74
zip,2000000,4,4,0.411985,2.427272,3.63
zip,2000000,4,5,0.425805,2.348491,3.68
zip,2000000,4,6,0.437391,2.286285,3.68
zip,2000000,4,7,0.445995,2.242175,3.79
zip,2000000,4,8,0.429270,2.329539,3.60
zip,2000000,4,9,0.450306,2.220710,3.70
zip,2000000,5,0,0.689746,1.449809,3.82
zip,2000000,5,1,0.825470,1.211430,3.91
zip,2000000,5,2,0.669455,1.493752,3.82
zip,2000000,5,3,0.801710,1.247334,3.94
zip,2000000,5,4,0.737614,1.355722,3.91
zip,2000000,5,5,0.772051,1.295251,3.88
zip,2000000,5,6,0.719715,1.389438,3.85
zip,2000000,5,7,0.659686,1.515872,3.79
zip,2000000,5,8,0.703247,1.421975,3.94
zip,2000000,5,9,0.769064,1.300282,3.87
zip,2000000,6,0,0.742060,1.347599,3.82
zip,2000000,6,1,0.798097,1.252981,3.93
zip,2000000,6,2,0.711442,1.405596,3.85
zip,2000000,6,3,0.749143,1.334858,3.88
zip,2000000,6,4,0.785177,1.273598,3.96
zip,2000000,6,5,0.735792,1.359079,3.92
zip,2000000,6,6,0.792651,1.261590,3.92
zip,2000000,6,7,0.781946,1.278861,3.91
zip,2000000,6,8,0.818252,1.222117,3.88
zip,2000000,6,9,0.726072,1.377274,4.04
zip,2000000,7,0,0.789230,1.267058,3.91
zip,2000000,7,1,0.820309,1.219053,3.91
zip,2000000,7,2,0.778648,1.284278,3.97
zip,2000000,7,3,0.818305,1.222038,3.95
zip,2000000,7,4,0.822788,1.215380,3.92
zip,2000000,7,5,0.802638,1.245891,3.93
zip,2000000,7,6,0.750606,1.332256,4.14
zip,2000000,7,7,0.785774,1.272630,4.79
zip,2000000,7,8,0.796696,1.255184,6.99
zip,2000000,7,9,0.820589,1.218638,7.28
zip,2000000,8,0,0.824732,1.212515,6.37
zip,2000000,8,1,0.729510,1.370782,5.82
zip,2000000,8,2,0.692704,1.443619,6.70
zip,2000000,8,3,0.762967,1.310672,5.71
zip,2000000,8,4,0.768125,1.301871,6.00
zip,2000000,8,5,0.800722,1.248872,7.03
zip,2000000,8,6,0.764706,1.307691,6.25
zip,2000000,8,7,0.682585,1.465018,7.27
zip,2000000,8,8,0.704948,1.418544,6.02
zip,2000000,8,9,0.769265,1.299942,6.92
zip,2000000,9,0,0.347637,2.876568,4.25
zip,2000000,9,1,0.349563,2.860713,5.91
zip,2000000,9,2,0.346042,2.889820,5.11
zip,2000000,9,3,0.345456,2.894726,5.77
zip,2000000,9,4,0.354161,2.823572,4.97
zip,2000000,10,0,0.560574,1.783884,4.76
zip,2000000,10,1,0.557572,1.793490,4.66
zip,2000000,10,2,0.519362,1.925440,6.57
zip,2000000,10,3,0.554975,1.801884,6.58
zip,2000000,10,4,0.515833,1.938613,5.43
zip,2000000,10,5,0.504295,1.982967,4.30
zip,2000000,10,6,0.526065,1.900905,6.24
zip,2000000,10,7,0.534063,1.872437,6.19
zip,2000000,10,8,0.591579,1.690392,6.49
zip,2000000,10,9,0.578375,1.728983,4.85
zip,2000000,11,0,0.573183,1.744643,4.54
zip,2000000,12,0,0.344339,2.904113,4.83
zip,2000000,12,1,0.344577,2.902105,6.87
zip,2000000,12,2,0.344550,2.902340,5.10
zip,2000000,12,3,0.344870,2.899642,4.55
zip,2000000,12,4,0.344328,2.904211,4.06
zip,2000000,12,5,0.344269,2.904708,3.85
zip,2000000,12,6,0.344608,2.901846,3.81
zip,2000000,12,7,0.344647,2.901517,3.91
zip,2000000,12,8,0.344219,2.905130,3.84
zip,2000000,12,9,0.343745,2.909133,3.74
zip,2000000,13,0,0.672295,1.487441,3.79
zip,2000000,13,1,0.724714,1.379855,3.76
zip,2000000,13,2,0.755092,1.324341,3.81
zip,2000000,13,3,0.817983,1.222519,3.87
zip,2000000,13,4,0.703602,1.421258,3.75
zip,2000000,13,5,0.815740,1.225881,3.76
zip,2000000,13,6,0.651541,1.534824,3.71
zip,2000000,13,7,0.764364,1.308277,3.82
zip,2000000,13,8,0.788671,1.267956,3.75
zip,2000000,13,9,0.655573,1.525384,3.66
zip,4000000,0,0,0.463258,2.158624,6.27
zip,4000000,1,0,0.343837,2.908358,6.18
zip,4000000,1,1,0.344333,2.904167,6.12
zip,4000000,1,2,0.343499,2.911220,6.12
zip,4000000,1,3,0.344363,2.903909,6.13
zip,4000000,1,4,0.344521,2.902578,6.22
zip,4000000,1,5,0.344976,2.898749,6.27
zip,4000000,1,6,0.342949,2.915883,6.24
zip,4000000,1,7,0.345142,2.897360,6.27
zip,4000000,1,8,0.343489,2.911300,6.13
zip,4000000,1,9,0.345385,2.895322,6.26
zip,4000000,2,0,0.454101,2.202155,6.34
zip,4000000,2,1,0.451896,2.212900,6.35
zip,4000000,2,2,0.442426,2.260267,6.32
zip,4000000,2,3,0.439646,2.274559,6.31
zip,4000000,2,4,0.450039,2.222032,6.21
zip,4000000,2,5,0.456581,2.190193,6.69
zip,4000000,2,6,0.459242,2.177502,6.36
zip,4000000,2,7,0.443025,2.257209,6.43
zip,4000000,2,8,0.448034,2.231975,6.47
zip,4000000,2,9,0.446079,2.241754,6.63
zip,4000000,3,0,0.397859,2.513456,6.35
zip,4000000,3,1,0.404349,2.473113,6.27
zip,4000000,3,2,0.398628,2.508606,6.32
zip,4000000,3,3,0.392093,2.550416,6.30
zip,4000000,3,4,0.401452,2.490958,6.24
zip,4000000,3,5,0.398197,2.511323,6.32
zip,4000000,3,6,0.395091,2.531064,6.27
zip,4000000,3,7,0.394414,2.535410,6.27
zip,4000000,3,8,0.400976,2.493915,6.21
zip,4000000,3,9,0.398088,2.512007,6.23
zip,4000000,4,0,0.343409,2.911983,6.21
zip,4000000,4,1,0.345300,2.896031,6.12
zip,4000000,4,2,0.342085,2.923249,6.04
zip,4000000,4,3,0.342126,2.922901,6.17
zip,4000000,4,4,0.348026,2.873350,6.21
zip,4000000,5,0,0.521993,1.915735,6.39
zip,4000000,5,1,0.505156,1.979588,6.44
zip,4000000,5,2,0.534354,1.871417,6.48
zip,4000000,5,3,0.542932,1.841853,6.36
zip,4000000,5,4,0.550937,1.815089,6.46
zip,4000000,5,5,0.531350,1.881998,6.45
zip,4000000,5,6,0.545655,1.832658,6.50
