benchmark,interval,cluster,index,cpi
linear,1000,0,5,0.876494
linear,1000,0,9,0.843157
linear,1000,0,8,0.789841
linear,1000,0,2,0.710159
linear,1000,0,3,0.842629
linear,1000,0,0,0.587413
linear,1000,0,6,0.522433
linear,1000,0,1,0.789841
linear,1000,10,2,2.360360
linear,1000,10,3,2.486000
linear,1000,10,0,2.109218
linear,1000,10,1,1.996008
linear,1000,15,7,2.022000
linear,1000,15,4,1.605817
linear,1000,15,5,1.838839
linear,1000,15,9,2.348651
linear,1000,15,8,3.426000
linear,1000,15,2,2.358000
linear,1000,15,3,2.355644
linear,1000,15,0,1.576000
linear,1000,15,6,6.072072
linear,1000,15,1,1.968000
linear,1000,11,7,1.908543
linear,1000,11,4,1.759036
linear,1000,11,5,1.728916
linear,1000,11,9,1.947000
linear,1000,11,8,1.879000
linear,1000,11,2,1.969940
linear,1000,11,3,1.888000
linear,1000,11,0,2.075075
linear,1000,11,6,1.729000
linear,1000,11,1,2.078235
linear,1000,12,7,1.433300
linear,1000,12,4,1.540541
linear,1000,12,5,1.244511
linear,1000,12,9,1.396396
linear,1000,12,8,1.592593
linear,1000,12,2,1.409590
linear,1000,12,3,1.398798
linear,1000,12,0,1.726000
linear,1000,12,6,1.585000
linear,1000,12,1,2.024000
linear,1000,6,0,1.792000
linear,1000,6,1,1.674675
linear,1000,1,7,1.718719
linear,1000,1,4,1.889000
linear,1000,1,5,2.166000
linear,1000,1,9,0.843157
linear,1000,1,8,0.596386
linear,1000,1,2,2.032000
linear,1000,1,3,1.844000
linear,1000,1,0,1.808000
linear,1000,1,6,2.042000
linear,1000,1,1,2.241000
linear,2000,7,2,2.981000
linear,2000,7,3,1.472236
linear,2000,7,0,1.519481
linear,2000,7,1,1.572714
linear,2000,14,7,1.917959
linear,2000,14,4,0.733267
linear,2000,14,5,1.670500
linear,2000,14,9,1.888944
linear,2000,14,8,1.873937
linear,2000,14,2,0.686500
linear,2000,14,3,2.104500
linear,2000,14,0,1.822000
linear,2000,14,6,1.668332
linear,2000,14,1,2.001500
linear,2000,4,7,4.119940
linear,2000,4,4,0.682500
linear,2000,4,5,0.751752
linear,2000,4,9,1.843000
linear,2000,4,8,1.947000
linear,2000,4,2,0.890000
linear,2000,4,3,0.640641
linear,2000,4,0,0.793516
linear,2000,4,6,0.773500
linear,2000,4,1,0.697197
linear,2000,5,7,1.798701
linear,2000,5,4,1.745373
linear,2000,5,5,1.604593
linear,2000,5,9,1.637544
linear,2000,5,8,1.831331
linear,2000,5,2,1.343157
linear,2000,5,3,1.217609
linear,2000,5,0,1.515774
linear,2000,5,6,1.204705
linear,2000,5,1,1.508746
linear,2000,13,7,1.835082
linear,2000,13,4,1.604698
linear,2000,13,5,1.758759
linear,2000,13,9,1.455544
linear,2000,13,8,1.630185
linear,2000,13,2,1.693153
linear,2000,13,3,1.657000
linear,2000,13,0,1.524238
linear,2000,13,6,3.041937
linear,2000,13,1,1.905859
linear,2000,9,7,1.791812
linear,2000,9,4,1.539270
linear,2000,9,5,1.476262
linear,2000,9,9,1.552172
linear,2000,9,8,1.816817
linear,2000,9,2,1.599500
linear,2000,9,3,1.494247
linear,2000,9,0,1.529294
linear,2000,9,6,1.656843
linear,2000,9,1,1.840160
linear,2000,8,7,1.628372
linear,2000,8,4,1.888000
linear,2000,8,5,2.058500
linear,2000,8,9,1.685315
linear,2000,8,8,2.149500
linear,2000,8,2,1.677500
linear,2000,8,3,1.833000
linear,2000,8,0,1.828500
linear,2000,8,6,1.634366
linear,2000,8,1,1.891000
linear,2000,2,7,0.606590
linear,2000,2,4,8.178000
linear,2000,2,5,2.652847
linear,2000,2,9,0.449326
linear,2000,2,8,0.454181
linear,2000,2,2,3.574500
linear,2000,2,3,9.607196
linear,2000,2,0,4.087912
linear,2000,2,6,3.598299
linear,2000,2,1,3.769500
linear,2000,3,7,1.928964
linear,2000,3,4,1.912956
linear,2000,3,5,2.024525
linear,2000,3,9,2.009995
linear,2000,3,8,1.873373
linear,2000,3,2,1.765117
linear,2000,3,3,1.917417
linear,2000,3,0,1.791104
linear,2000,3,6,1.910455
linear,2000,3,1,1.709500
linear,2000,0,7,3.052526
linear,2000,0,4,10.025013
linear,2000,0,5,7.865433
linear,2000,0,9,3.155844
linear,2000,0,8,2.955544
linear,2000,0,2,4.809095
linear,2000,0,3,2.521978
linear,2000,0,0,1.918459
linear,2000,0,6,11.335500
linear,2000,0,1,13.595702
linear,2000,10,7,1.971471
linear,2000,10,4,2.664668
linear,2000,10,5,2.678322
linear,2000,10,9,1.948448
linear,2000,10,8,1.954977
linear,2000,10,2,2.337500
linear,2000,10,3,2.675338
linear,2000,10,0,5.489755
